sgrub pa bka' brgyad|huit préceptes transmis (Nyingma)
gsal stong 'gags med|la clarté vide sans obstacle (p79), incessante lumineuse vacuité, état de vacuité lucide sans obstruction, luminosité vide sans obstacle (ou blocage)
gsang ba|secret, intime, aspect secret
gsang ba'i bdag po|le Maître des secrets
gsang ba'i bla ma|Lama secret
gsang mtshan|1. nom secret (reçu lors d'une initiation), 2. parties génitales
gsang sngags|(voie des) mantras secrets
gsang sngags rdo rje theg pa|voie vajra des mantras secrets, véhicule adamantin du mantra secret
gsang spyod|conduite secrète
gsar ma pa|les écoles nouvelles
gseng ma'i phu shu|(syn. de mda' yab) bandeaux sommitaux ornés de motifs floraux (n166)
gshis|l'état fondamental, disposition inhérente, fondamentalement inconditionné
gshis rdzogs pa chen po|l'état fondamental de la Grande Perfection (p76), disposition inhérente de la grande perfection, la grande perfection fondamentalement inconditionnée
gshis shor gyi gol sa|déviation où l'on tombe (ou sort, s'écarte) de l'état fondamental
gtad so|orientation, concept
gtad so dang bral ba|sans orientation, sans point de référence
gtad med|sans orientation, sans point de référence
gtad pa med pa|sans orientation, sans point de référence
gtad tshigs|"conclusion ; critère ; raisonnement"
"gtad; gtad pa "|1. fixation, fixer l'esprit sur, point de référence, intention, induire, induction, se tourner vers, s'orienter vers, 2. confier
gtan la dbab pa|1.amener (rigpa) à son état (de réalisation) définitive (p77), arriver à la stabilité, atteindre la conclusion définitive, 2.systématiser, coucher par écrit de façon standardisée (ou organisée)
gtan la 'bebs pa|1.amener (rigpa) à son état (de réalisation) définitive (p77), arriver à la stabilité, atteindre la conclusion définitive, 2.systématiser, coucher par écrit de façon standardisée (ou organisée)
gtan la phab|1.amener (rigpa) à son état (de réalisation) définitive (p77), arriver à la stabilité, atteindre la conclusion définitive, 2.systématiser, coucher par écrit de façon standardisée (ou organisée)
gtang rgya|sceau de la confiance
gter ma|terma, trésor redécouvert, trésor (caché et découvert), révélation
gter ston|Tertön, découvreur de trésors (termas)
gtong len|accueillir/offrir (n138)
gtor ba|évacuation (ou purification de toutes les empreintes samsariques d'apparences inexistantes) (p19), renvoi, révocation, éviction
gtum mo|toumo, chandâlî (p30)
gur khyim|une tente (p88)
gyin 'dar|la présence naturelle (p76), être 'naturel', être nature
"gyu ba; "|remous, mouvements, agitations mentales
'gyus pa|remous, mouvements, agitations mentales
gyu 'phro'i thog nas|dans l'instantanéité des remous et des projections mentales, dans l'immédiateté (ou l'imminence) des mouvements mentaux et des émissions des pensées
gza' gtad|point de référence, orientation, concepts
gza' gtad dang bral ba|libre de toutes conceptions, libre de tout point de référence, sans orientation
gza' gtad med pa|libre de toutes conceptions, libre de tout point de référence, sans orientation
gzhan du mi rnyed pa'i ye shes|connaissance première qui ne s'obtient nulle part ailleurs qu'en soi, gnose primordiale qui n'est pas trouvée autre part qu'en soi-même, expérience primordiale qui ne se trouve pas à l'extérieur
gzhan ngo snang tshul|le mode d'apparition en tant que perceptions extérieures (à soi), la façon dont les choses apparaissent comme autres ou externes
gzhan rig|conscient de l'autre (ou de l'altérité, cad les objets extérieurs)
gzhi bde|le fond heureux, la félicité de la base, le bienheureux fond d'existence
gzhi bral|sans fondement, sans fond, sans base, sans appui ; sans fondement ni racine, qui n'a ni base ni source ; qui n'a ni fondement ni substance
gzhi med|sans fondement, sans fond, sans base, sans appui ; sans fondement ni racine, qui n'a ni base ni source ; qui n'a ni fondement ni substance"
gzhi med rtsa bral|sans fondement, sans fond, sans base, sans appui ; sans fondement ni racine, qui n'a ni base ni source ; qui n'a ni fondement ni substance
gzhi rtsa med pa|sans fondement, sans fond, sans base, sans appui ; sans fondement ni racine, qui n'a ni base ni source ; qui n'a ni fondement ni substance
gzhi rtsa dngos med|sans fondement, sans fond, sans base, sans appui ; sans fondement ni racine, qui n'a ni base ni source ; qui n'a ni fondement ni substance
gzhi dang gzhi snang 'char tshul|la base existentielle et son mode d'émergence en tant que phénomènes apparents
gzhi dang ngo 'phrad pa|être introduit à la base (ou au fond)
gzhi dbyings|le fond comme sphère (primordiale), la base est immensité, le domaine du fond, la base existentielle comme immensité
gzhi gnas ma'i 'od gsal|la claire lumière 'mère' qui demeure en la base (ou le fond)
gzhi ji bzhin pa|le fond tel qu'il est
gzhi lam 'bras bu|base, voie et fruit
gzhi lam gyi 'od gsal gnyis dbyer med|l'inséparabilité des deux claire lumières du fond et de la voie
gzhi med rtsa bral|sans fondement ni racine, qui n'a ni base ni source
gzhi rtsa med pa|sans fondement ni racine, qui n'a ni base ni source
gzhi nyid la grol ba|libéré en le fond en soi, libre en le fond lui-même, libéré en la base même
gzhi rig|l'intelligence du fond, l'intelligence au fond
gzhi rtsa|la base fondamentale
gzhi rtsa dngos med|qui n'a ni fondement ni substance
gzhi snang|les apparences du fond (p99), le fondement de l'être tel qu'il se manifeste
gzhi snang chen po|(tous les phénomènes sont) la manifestation suprême de la base existentielle
gzhi yi ngo bo|essence du fond
"gzhi; "|"le fond, la base, fondation, la base d'existence, la base existentielle, le fondement de l'existant ; la base fondamentale"
gzhi ma|"le fond, la base, fondation, la base d'existence, la base existentielle, le fondement de l'existant ; la base fondamentale"
gzhi mo|"le fond, la base, fondation, la base d'existence, la base existentielle, le fondement de l'existant ; la base fondamentale"
gzhi rtsa|"le fond, la base, fondation, la base d'existence, la base existentielle, le fondement de l'existant ; la base fondamentale"
gzhi'i 'od gsal|la claire lumière fond
gzhil|pression-soulagement (p30)
gzhir gnas|à demeure en la base, demeurer en le fond
gzhir gnas kyi 'od gsal|la claire lumière qui demeure comme fond (ou en le fond)
gzhir gnas kyi rig pa|intelligence immédiate qui demeure comme fond (ou en le fond)
gzhon nu bum sku|le corps vase juvénile (p105), l'omniprésent réceptacle de la nature éveillée en son éternelle fraîcheur juvénile (n341)
gzhung lugs pa|adepte de la tradition scripturaire, du courant dominant (de l'enseignement du Bouddha), adepte du courant traditionnel (ou conventionnel, officiel)
gzugs sku|corps formels
gzugs kyi sku|corps formels
gzugs su snang ba kun|tout ce qui apparaît formellement (ou comme formes)
gzung ba|grâhya, objet, ce qui est appréhendé, percevoir comme objet
gzung 'dzin|la saisie duelle, sujet et objet, perception dualiste, esprit dualiste
had de ba|état d'être suspendu, ébahi, (intelligence immédiate comme) en état de choc, sidéré, stupeur, hébété
har sangs|"grand ouvert en une brillante clarté ; grand ouvert, clair et limpide, clarté grande ouverte"
hrig ge|ouvert et lucide (p72), vigile et lucide (n219), lucidement clair et éveillé, bien (ou pleinement) éveillé, yeux grand ouverts, yeux d'un regard fixe perçant
ja' lus|le corps d'arc-en-ciel
ja' lus 'pho ba chen po|le corps d'arc-en-ciel du grand transfert
ji bzhin|tel qu'il est, ainsi tel quel, ce qui est, tel quel, tel que c'est
ji bzhin nyid|l'état d'être tel qu'il est (ou tel que c'est), simplement ce qui est
ji bzhin pa|l'état d'être tel qu'il est, (étant donné) ce qui est, tel quel
ji bzhin par bzhugs pa|demeurer en l'état d'être, tel quel, tel que c'est
ji lta ba bzhin|l'ainsité telle qu'elle est, l'état tel quel, l'état des choses telles qu'elles sont
ji lta ba gzigs pa'i ye shes|l'expérience première de l'ainsité, la gnose connaissant l'ainsité, la connaissance primordiale connaissant la nature (des phénomènes), l'intelligence première qui voit (l'esprit, ou les phénomènes) tel qu'il est, la prime expérience qui perçoit directement le sens (de l'esprit), la cognition primordiale qui expérimente (ou vit, distingue, contemple, constate) directement (l'état fondamental), connaissance qualitative, la connaissance voyant l'état (ou la nature) tel qu'il (ou elle) est
ji snyed pa mkhyen pa'i ye shes|l'expérience première des phénomènes dans leur multiplicité, la gnose connaissant la multiplicité des connaissables, connaissance quantitative, la connaissance connaissant la (pleine) quantité de tous les phénomènes (ou de tout ce qui peut être connu)
jig rten|le monde périssable, notre monde ce support dégradable (ou éphémère), le monde
jur dran|mémoires tenaces (ou rigides, endurcies)
ka dag chen po|l'expérience alpha pur totale, l'immense alpha pur
ka dag gi lam|la voie de l'alpha pur
ka dag khregs chod|l'expérience alpha pur, primordialement pure ou d'instantanéité dans laquelle la solidité de la saisie est suspendue
ka dag|alpha pur' (p72), l'état 'alpha pur' (p69), l'état originellement pur (p69), la pratique de l'alpha pur (p106), l'alpha pureté (n341), pureté primordiale
ka nas dag pa|alpha pur' (p72), l'état 'alpha pur' (p69), l'état originellement pur (p69), la pratique de l'alpha pur (p106), l'alpha pureté (n341), pureté primordiale
ka ti|Kati, le tube de cristal (reliant le cour et les yeux) (p97, n329), une nervure ou un canal cristallin et translucide reliant le cour et les yeux
ka ti shel sbug|Kati, le tube de cristal (reliant le cour et les yeux) (p97, n329), une nervure ou un canal cristallin et translucide reliant le cour et les yeux
ka ti shel sbug|Kati, le tube de cristal (reliant le cour et les yeux) (p97, n329), une nervure ou un canal cristallin et translucide reliant le cour et les yeux
ka ti shel gyi sbu gu can|Kati, le tube de cristal (reliant le cour et les yeux) (p97, n329), une nervure ou un canal cristallin et translucide reliant le cour et les yeux
rtsa ka ti|Kati, le tube de cristal (reliant le cour et les yeux) (p97, n329), une nervure ou un canal cristallin et translucide reliant le cour et les yeux
ke ta ka|le joyau Kétaka (p97, n331)
kha sbyor|le souffle d'union « l'un sur l'autre » (p30), bumchen d'union (p30), kumbhaka en union (p94), face à face en union
khad kyis drangs la|soudainement (regarder) droit devant soi (p84)
khams gsum|les trois types d'état (des demeures samsariques) (p29), les trois domaines de l'existence, les trois états d'existence, les trois plans de l'existence
khong lhod pa|être tout relaxé (p76)
khong yangs|(personne) d'esprit vaste, large d'esprit, largesse d'esprit
khor ba|le cycle, existence cyclique
khor 'das|cycle et au-delà, samsâra et nirvâna
khor 'das ru shan|la différenciation du samsâra et du nirvâna (p60), la conduite distinguant samsâra et nirvâna, la pratique de différenciation du samsâra et du nirvâna (p77)
khor 'das ru shan phye ba|la différenciation du samsâra et du nirvâna (p60), la conduite distinguant samsâra et nirvâna, la pratique de différenciation du samsâra et du nirvâna (p77)
'khor 'das ru shan 'byed pa|la différenciation du samsâra et du nirvâna (p60), la conduite distinguant samsâra et nirvâna, la pratique de différenciation du samsâra et du nirvâna (p77)
khor lo|1.roue, cercle, cycle, tourner, 2.cakra, centres corporels
khor lo bsgyur pa'i rgyal po|monarque universel
khor yug|yoga du jour et de la nuit, yoga tour du cadran (n317), continuellement, jour et nuit durant
khra khang|maison à orifices (p85)
khregs chod|trekchö, solidité suspendue (p75), suspension de la solidité (p59, n192), laisser la dureté se suspendre ou s'interrompre, relâcher les tensions, trancher à travers la rigidité
khrid|accompagner (p85), les instructions guidances (p107), instructions (p108), explications
khrid yig|manuel de transmission (p112), manuel d'instructions (manuel donnant une explication de la pratique de méditation)
khrul 'byams|profusion ordinaire des illusions, abondance (ou foisonnement, affluence) habituelle de pensées erronées, illusions galopantes, illusions endémiques
khrul 'byams tha mal du shor ba|tomber dans la profusion habituelle des illusions (ou de la confusion)
khrul gzhi|le fond de l'illusion, la base de l'illusion
'khrul pa'i gzhi|le fond de l'illusion, la base de l'illusion
khrul lam|la voie de l'illusion, le chemin de la confusion
khrul med|libre d'illusion, sans illusion
khrul pa|illusion
khrul pa'i las rgyun mi chod pa|ne pas interrompre le flux des activités confuses, ne pas faire cesser le flot des actions illusoires
khrul rtog|pensées illusionnées, pensées duelles erronées, l'illusion des pensées, pensées illusoires, pensées qui s'illusionnent, la confusion des pensées, pensées duelles confuses
khrul rtog gi rba rlabs 'tshub pa|les vagues tumultueuses de pensées illusoires, les vagues agitées de pensées qui s'illusionnent, les vagues impétueuses de la confusion des pensées duelles
