bsgrub pa bka' brgyad|huit préceptes transmis (Nyingma)
rten 'brel bcu gnyis|douze liens dépendants
rten 'brel gyi rigs pa|le raisonnement/la preuve de la production interdépendante
rtog ge ba|dialecticiens / sophistes
rtog pa|conceptualisation, conception
rtsa ba'i bsgrub bya dang mtshungs|analogue au prédicat d'origine
rtsod gzhi|base de la discussion
sams pa'i las|acte motivé
sbyor ba|relier, préparer
sbyor lam|sentier de la préparation
sdom pa'i tshul khrims|éthique de restreinte
sdug bsngal gyi bden pa|la vérité de la souffrance
sdug bsngal gi sdug bsngal|souffrance de la souffrance
sems can gyi don bya ba'i tshul khrims|l'éthique de l'accomplissement du bien d'autrui
sems kyi rang bzhin|nature de l'esprit
sems pa'i las|acte motivant
sgom lam|sentier de l'entraînement
sgra|son
sgro 'dogs|surestimation/surimposition
sgro skur|"surestimation et dénégation ; surestimation et sous-estimation"
sgrub byed bsgrub bya dang mtshung pa'i ma grub pa|"non-pertinence des preuves identiques au prédicat ; l'irrecevabilité des preuves identiques au prédicat"
sgrub byed gtan tshig|raison qui prouve
sgrub pa 'god pa|présentation d'une affirmation
sgrub rtags|"preuve positive ; signes probants "
sgrub thul|modalité de la raison
sher phyin|sagesse transcendante
shes bya'i gzhi|connaissable/ base de connaissance
shes 'dod|présupposés
shes rab|sagesse (discernement)
shes rig don mthun|consciences correspondant à leur objet
shes rigs don mthun|les consciences correspondant à leur objet
shes sgrib|"voile du connaissable ; voile empêchant la connaissance"
shes sgrib|voile empêchant la connaissance
shing rta|char
skal mnyam gyi rgyu|cause de même série
skra shad|corps flottant
skur 'debs|sous-estimation, dénégation
skye|production
skye|production
skye ba|produire / production
skye 'gag|"la production et la cessation ; sphère psycho-sensorielles"
skye mched|source
smon pa med pa|porte de l'absence de prise en considération
snang ba|apparences
snang sel|élimination des apparences
snyom 'jug gi sgrib|voile de l'absorption méditative
so so rang rig pa|connaissance réflexive individuelle
so so rang rig pa'i ye shes|sagesse originelle auto-connaissante
so sor rtogs pa'i ye shes|sagesse originelle discriminante
spros pa|"prolifération ; élaboration"
sprul sku|corps d'émanation
srid zhi la mi gnas pa|l'au-delà des peines qui évite les extrêmes de l'existence cyclique et de la paix
stobs|force
stong pa nyid|porte de la vacuité
sun dbyung|réfuté
tha snyad tsam du grub pa|simple existence conventionnelle
tha snyed grub pa|preuve par les conventions
thal|s'ensuivre
thug med du|à l'infini
tshad ma|connaissance valide
tshangs ris|Groupe des purs
tshogs lam|sentier de l'accumulation
tshul gsum|trois modalités
tshul khrims|éthique
yan lag|membre / partie
yang dag kun rdzog|relatif vrai
yang dag ma yin kun rtog|imagination de ce qui est irréel
yang dag pa|correct, parfait
yid gyi las|acte mental
yid kyi mngon sum|perception directe mentale
yid la byed pa|application mentale, orientation mentale
yod|existence
yod med skye 'gog|réfutation de la production d'un [effet] existant [au moment de sa cause] et d'un [effet] non-existant [au moment de sa cause]
yongs gcod|détermination
yongs grub|parachevé
zag med las kyi skye ba len pa|naissance à partir d'actions immaculées
zag pa zad pa|"épuisement des écoulement ; tarissement des écoulements"
zhe sdang|aversion
zhen pa|adhérence, adhésion, saisie, fixation
'bras bu'i gtan tshigs|raison de l'effet
thun mong ma yin pa'i ngag|Instructions extraordinaires ou spécifiques: il semblerait que man ngag ait plutôt le sens spécifique de directives intimement destinées à un individu particulier. L'expression complète serait littéralement « parole spécifique » ou « extraordinaire », où « spécifique » désigne les disciples.
skad cig dran rdzogs|rappel instantané de la divinité
sgrub brgyud shing rta chen po brgyad|les huit grands chariots de la lignée de pratique
bshad brgyud 'degs pa'i ka chen bcu|Les dix grands piliers qui soutenaient la lignée de l'explication; c'est à dire : Thönmi Sambhota, Vairocana, Kawa Peltsek, Chokro Lüi Gyaltsen, Zhang Yeshedé, Rinchen Zangpo, Dromtön Gyalwai Jungné, Ngok Lotsawa Loden Shérab, Sakya Pan?ita, et Gö Khukpa Lhetsé (NSH, 1, 851 et 2, 165).
snying ma rgyud 'bum|Recueil de tantras de l'école nyingma: Bien que les éditions du Kangyur de Dergé et de Lhassa comptent trois volumes tantras nyingmapas, une grande majorité de ces textes ne figurent pas dans les autres éditions (Smith, ibid.., p. 280, n. 90).  Pour une histoire précise de l'évolution du Gyubum Nyingma, voir Gyurmé Dorjé, Guhyagarbha Tantra : An Introduction (site internet de Wisdom Books ). Voir aussi Paul Harrison, (1996), Tadeusz Skorupski, (1996), ainsi que  l'introduction de l'éditeur par Cabezón et Jackson, (1996).
bsdus grwa|Recueils thématiques
dpal spung|principal monastère de la tradition  Karma Kagyü du Kham (Tibet oriental) dans l'ancien royaume de Dergé, était à l'apogée de son influence à l'époque de Kongtrül. Palpung fut fondé en 1727 par le VIIIe Situ, Chökyi Jungné (chos kyi 'byung gnas, 1699-1774) et est resté le siège de l'importante lignée d'incarnations Tai Situ. Le site qui surplombe le monastère s'appelle Tsadra Rinchen Drak (tsa 'dra rin chen brag) « La Falaise de Joyaux comparable à Tsa[ri] » (duquel dérive le nom de la Fondation Tsadra). Kongtrül révéla la force spirituelle du lieu puis y construisit un centre de retraite de trois ans qui a aujourd'hui recouvré son fonctionnement après trente ans d'inactivité. C'est là que Kongtrül effectuait de fréquentes retraites et guidait de nombreux retraitants. Lire le récit complet qu'en donne Zangpo (2001).
nges don bstan pa rab rgyas|Maître Ngédön, (nges don bstan pa rab rgyas, 1808-1864 ou 1867) fut la première incarnation des Dabzang Tülku (zla bsang sprul sku) et le fondateur du Monastère de Tilyag  à Nangchen
'jam dbyangs mkhyen brtse dbang po|Jamyang Khyèntsé Wangpo (1820-1892) joua un rôle prééminent dans la vie de Jamgön Kongtrül au Tibet oriental. Affilié au Monastère de Dzongsar , il était à la fois un maître remarquablement brillant, un érudit, un compilateur et un découvreur de trésors. Il était considéré comme une émanation de Manjushri, le bodhisattva de la sagesse. On trouvera l' « arbre généalogique » de ses nombreuses incarnations, qui continuent à apparaître en grand nombre, dans Smith, ibid., p. 268-9.
bkra shis 'od zer blo gros rgyas pa'i sde|Tashi Özer (1836-1910) : un célèbre érudit. (Smith,  p. 329, n. 804).
gter ma|« trésor »: désigne des enseignements ou des objets d'ordre spirituels dissimulés par de grands maîtres, essentiellement, Padmasambhava, pour être exhumés ultérieurement lorsqu'ils seront des plus appropriés et efficaces.
dus gsum khegs pa|postérité
dus khegs pa|postérité
sde dge'i rgyal rabs|Généalogie royale de Dergé, par le prince de Dergé.
jo nang khrid brgya'i skor|Les "Cent conseils de Jonang": fait partie du volume 18 du Trésor de précieuses instructions, qui contient un historique similaire et complet (ris med)  des différentes lignées.
be ro tsa na|Vairocana: né dans la famille de Bagor, auteur de nombreuses traductions pendant la première période de la diffusion du bouddhisme
'brom ston rgyal ba'i 'byung gnas|Dromtön Gyalwai Jungné :(1005-1064), disciple du Seigneur Atisa, un laïc préservant les cinq voux ;
khyung po rnal 'byor|Khyungpo Naljor (978?-1127?), qui étudia avec cent quarante maîtres indiens et fonda la lignée Shangpa Kagyü;
'brog mi lo tsA ba|Drokmi Lotsawa ('brog mi Lotsawa Sakya ye shes, 993-1077?), étudia avec des précepteurs indiens et népalais pendant treize ans, puis traduisit nombre de textes tantriques, tel que le Tantra de Hevajra ;
mar pa chos kyi blo gros|Seigneur Marpa (1000-1081), autre grand traducteur, qui étudia avec des Indiens comme Naropa et Maitripa, et dont les enseignements posent les fondements de la lignée Kagyü ;
dam pa sangs rgyas|Dampa Sangyé (?-1105) Parfois identifié à Kamalasila, il se rendit cinq fois au Tibet et y diffusa des enseignements comme ceux de l'apaisement et de la découpe, sa pratique annexe ;
gyi jo zla ba'i od zer|Gyijo : il fut le premier à traduire le Tantra de Kalacakra et son enseignement du vajrayoga en six parties ;
o rgyan pa rin chen dpal|Orgyenpa (1230-1309). Il était déjà bien établi dans la tradition Kagyü quand il rencontra directement la dakini de sagesse lors d'un voyage en U??iyana (Orgyen) dont il revint avec une transmission de Kalacakra.
mdo sngags |Soutras et mantras : soutra (mdo ; sutra) désigne les enseignements directement attribués au Bouddha et les pratiques qui s'y rattachent. Mantra (sngags ; mantra), mantra secret (gsang sngags), désigne les pratiques qui reposent sur les tantras. Il est ici synonyme de vajrayana (rdo rje theg pa), la voie ou le véhicule de diamant. Kongtrül explique le sens de mantra, et en quoi il se distingue de tantra, dans un volet antérieur du Trésor des connaissances (Livre six, section 4, vol. 2, p. 560-766), traduit dans l'ouvrage Tantras bouddhistes (TB). Sommairement, le terme sanskrit mantra signifie « protéger l'esprit » ainsi qu' « expression secrète », qui serait selon l'usage populaire, une forme d'incantation. L'essence du mantra est l'union de la vacuité et de la compassion. Kongtrül déclare : « On appelle mantra tous les aspects du mantra secret et de la sagesse primordiale de la grande félicité. La mise en application du mantra secret (l'ensemble des [rituels] pour les activations et les pouvoirs) s'appelle tantra. » (TB, p. 86-7).
phyed snang longs sku|corps d'expérience parfaite semi-apparent
rnam par snang mdzad|Vairocana
rigs lnga'i rgyal ba|les vainqueurs des cinq familles (de bouddhas)
rtag pa rgyun gyi 'khor lo|cycle perpétuel et continu
ye shes gang chen mtsho|Grand lac enneigé de sagesse première
rab 'byams rgya mtsho|océan des galaxies
stong gsum|trichiliocosme
rang bzhin bdun|les sept natures ou attributs particuliers de l'expression naturelle: (1) la nature de la maturation dans l'ainsité (de bzhin nyid du nar son pa'i rang bzhin); (2) La nature spontanée de qualités qui ne sont pas à rechercher (yon tan ma btsal bar lhun gyis grub pa'i rang bzhin) ; (3) la nature sans centre ni périphérie de la sagesse première (ye shes mtha' dbus dang bral ba'i rang bzhin) ; (4) la nature non démontrable, dans le fruit obtenu, de son essence propre ('bras bu la mnga' mdzad kyang rang gi ngo bo bstan tu med pa'i rang bzhin); (5) La nature, même en l'égalité actualisée, dégagée du domaine d'expérience (mnyam pa nyid mngon du mdzad kyang spyod yul dang bral ba'i rang bzhin) ; (6) La nature libre de l'un et du multiple (gcig dang du ma las grol ba'i rang bzhin); (7) La nature sans union si séparation dans les trois temps (dus gsum 'du 'bral med pa'i rang bzhin).
de bzhin nyid du nar son pa'i rang bzhin|la nature de la maturation dans l'ainsité (une des sept natures ou attributs particuliers de l'expression naturelle - rang bzhin bdun -)
yon tan ma btsal bar lhun gyis grub pa'i rang bzhin|La nature spontanée de qualités qui ne sont pas à rechercher (une des sept natures ou attributs particuliers de l'expression naturelle - rang bzhin bdun -)
ye shes mtha' dbus dang bral ba'i rang bzhin|la nature sans centre ni périphérie de la sagesse première (une des sept natures ou attributs particuliers de l'expression naturelle - rang bzhin bdun -)
'bras bu la mnga' mdzad kyang rang gi ngo bo bstan tu med pa'i rang bzhin|la nature non démontrable, dans le fruit obtenu, de son essence propre (une des sept natures ou attributs particuliers de l'expression naturelle - rang bzhin bdun -)
mnyam pa nyid mngon du mdzad kyang spyod yul dang bral ba'i rang bzhin|La nature, même en l'égalité actualisée, dégagée du domaine d'expérience (une des sept natures ou attributs particuliers de l'expression naturelle - rang bzhin bdun -)
gcig dang du ma las grol ba'i rang bzhin|La nature libre de l'un et du multiple (une des sept natures ou attributs particuliers de l'expression naturelle - rang bzhin bdun -)
dus gsum 'du 'bral med pa'i rang bzhin|La nature sans union si séparation dans les trois temps (une des sept natures ou attributs particuliers de l'expression naturelle - rang bzhin bdun -)
phyi'i mtshan dpe|les marques majeures et mineures externes
rtsal|expression dynamique
gshegs ma yum lnga|les cinq ainsi allés féminins
gshegs pa yab lnga |les cinq ainsi allés masculins
mdzes byed phul du gyur pa|parfaite magnificience
bdag mtshan tu lta ba|vue du soi et de ses caractéristiques
sgyu 'phrul drwa ba|trame illusoire
dngos po bcu|les dix thèmes du mahayoga : la vue, l'action, le mandala, l'initiation, les promesses, les rituels d'activation, les pouvoirs, la contemplation, les offrandes, les mantras et les moudras
rgyud ma hA yo ga'i gtso bo|Filet de manifestation magique de Vajrasattva : C'est le nom donné au Tantra de l'essence secrète (gsang ba'i snying po'i rgyud) ainsi que le titre générique du cycle du Filet de manifestation magique (sgyu 'phrul drwa ba). Il y a dix-huit tantras types dans le système du mahayoga : cinq tantras racines , cinq qui concernent l'expression, cinq qui ont trait à la conduite, deux qui s'apparentent à des continuités et un tantra majeur qui synthétise tous les autres. Ce dernier est le Filet de manifestation magique de Vajrasattva. Il comprend huit textes principaux et quatre tantras exégétiques (OIC, vol. 2, p. 761 ; TB, p. 350). Il occupe donc une place prééminente dans le mahayoga ; sa profondeur et sa complexité justifient les nombreuses études dont il a fait l'objet au cours des siècles. Pour la liste complète des dix-huit tantras et leurs subdivisions, voir BT, p. 518-9, notes 2-4, ou Tulku Thondup (1996), p. 360, n.32, et du même (1989), p. 30-1.
bshad rgyud rgya mtsho|"Tantra exégétique de l'Océan de la manifestation magique"  appelé aussi sgyu 'phrul rgya mtsho, "Océan de manifestation magique" (TK-NGB, vol. Ba) : l'un des quatre grands tantras qui expliquent le "Filet de manifestation magique". (Mahayoga)
brtul zhugs kyi spyod pa|l'extraordinaire conduite intentionnelle : Expression qui peut être traduite par « conduite yogique », « conduite triomphante » ou « comportement délibéré ». Kongtrül la définit comme la transformation (brtul) des pensées et activités ordinaires et l'entrée (zhugs) dans l'état fondamental du corps, de la parole et de l'esprit de Vajrasattva. Il s'agit de l'attitude du yogi qui maîtrise totalement (brtul) les actions ordinaires conditionnées par les passions et qui a adopté (zhugs) la conduite spéciale qui permet de vaincre le dualisme.
