Tibétain,Sanskrit,Anglais,Sens racine Français,"Autres termes rencontrés",Definition,Ordre alpha tib
"bden 'dzin 
= bden par 'dzin pa ",,to take things to be real (SL BP),"Saisir comme vrai,
Saisir comme réel,
Prendre pour vrai ou réel.
Saisir comme une réalité,
Tenir pour vrai,","saisie, conception, appréhension, s'attacher, fixation d'une réalité, à la réalité, sur une réalité, d'une existence réelle, appréhender (les phénomènes) comme ayant une existence réelle en soi, tenir pour réel, l'habitude de solidifier la réalité, hypostasier (considérer à tort comme une réalité en soi, absolue : hypostasier une expérience), saisir une réalité
tenir pour vrai
croyance naïve, crédulité","(TDC) bden par 'dzin pa, 
1) gzhan gyi gtam sogs la yid ches te dngos gnas yin par sems pa,...
2) chos rnams bden par grub pa 'am rangbzhin gyis grub par 'dzin pa,...

syn bden grub
avoir confiance et penser que sont vraies les histoire d'autrui ou d'autres choses",455
"bden par zhen pa 
→ bden 'dzin ",,,"S’attacher (à quelque chose) comme étant vrai ou réel
Prendre pour vrai ou réel.
Saisir comme une réalité,
Tenir pour vrai,","attachement à la réalité, au concept d'existence réelle, tenir pour vrai, conférer une existence réelle, s'accrocher à la réalité des choses",,456
"bden med
=bden par ma grub pa",asatya siddha,"not really existing, not truly existing, absence of reality (SL BP)

lack of true status (SL MW)",,,,457
mdangs ,ojas,radiance (SL MW),"Eclat, (pour la lumière ou le son), brillance, radiation, irradiation, lustre,
Teint, radiance, (ce second sens est plutôt pour mdangs)","couleur (du visage), teint, éclat (lumineux intérieur)
rayonnement, radiance, lueur, ardeur, brillance (interne), complexion (vive, sain, en pleine santé), énergie, radiance transparente, splendeur, lustre, luisant, resplendissant, radieux de l'intérieur, poli, rougeoyant, luire, rutiler
moelle
(h de dpral ba :) front","(TDC) mdangs,...
1) mdog gam bkrag  ...'od mdangs,...zhal mdangs,...brtse ba'i mdangs,...2) lus kyi khu ba'i yang khu dvangs ma mthar phyin

 (RY) mdangs
1) splendor, beauty, appearance. 2) *, vitality, hue, brightness, luster, glow, inner glow, luster, radiant; luster, light; brightness, 3) shade of color 4) reflection [of light]. 5) {gdangs} complexion, expression, manifestation, face, facial expression, bright complexion; air, mien. 6) last night; 7) splendid, beautiful, luster l'état final, sublimal, de la quintessence du sperme corporel (GCLAvr93)",458
mdun bskyed ,,,Génération devant soi,"génération, production, développement devant (soi), en face, frontale ",,459
mdo ,sūtra,"scripture, discourse (SL MW)","Sutra,
Résumé,

Confluence, convergence, rencontre,","résumé, compendium, abrégé, discours
convergence de fleuves, croisée des chemins, croisement, carrefour
l'extérieur, l'extrémité (d'une maison ou d'autre chose)
(dans les trois corbeilles la collection des) sūtra","(TDC) mdo, ...
1) nyung ngur bsdus pa'i sdom mam gnad 'gag ...2) chu dang, lam sogs kyi 'dzoms 'gag ...lam bzhi mdo,...chu gsum mdo,...brag gsum mdo,...lam mdor lus pa,...3) khang pa sogs kyi phyi 'am mda',...khang pa sbug mdo,...lung pa'i phu mdo,...4) sde snod gsum gyi nang las mdo sde,...5) mdo sngags kyi zlas dbye ba'i mdo,...

(RY) mdo
 Sutra, a discourse of the Buddha, 1) sutras. 2) a valley; lower part of a valley 3) cross-road, junction, confluence, juncture, crossing 4) in summary, briefly. 5) discourse, sermon, 6) scripture [in Anu yoga], 7) Syn Mahayana, {mdo sngags} 8) prudence, credibility. Sutra, (mdo sde). 1) A discourse by or inspired by the Buddha. 2) A scripture of the Sutra pitaka within the Tripitaka. 3) All exoteric teachings of Buddhism belonging to Hinayana and Mahayana, the causal teachings that regard the path as the cause of enlightenment, as opposed to the esoteric, tantric teachings. 4) Scripture, (lung). a scripture belonging to the category of Anu Yoga or Ati Yoga. sutra [thd]",460
mdo sde pa ,Sautrantika,"Sautrāntika (Sūtra-follower) (SL BP)

traditionists (SL MW)",Tenant des sutras,"tenant des discours, adeptes des sūtra",,461
mdor bstan pa ,,,"Exposition concise,
Exposé abrégé","abréger, résumer, précis, synopsis",,462
'das pa ,"saṅkrānti, atīta, atikrānta",,"Au-delà,
Transcendant,
Transcender,
Aller au-delà, 
Dépasser","transcender, aller au-delà, surpasser, transcendance",,463
"'du byed 
→ 'dus byed ",saṃskāra,"mental formations (SL MW)

formative action (SL MW)","Samskara
Facteurs formateurs,
Formations,
Informations,
Impulsions,
Facteurs agrégatifs, d’agrégation","facteur, (facteur) composant, volitionnel, constitutif, impulsion, composition, formation, composant, conditionnement, composé
agréger, produire, manufacture, façonnement, fabrications mentales, facteurs karmiques déterminants, initier, volition (créatrice, façonnant des actes), impulsion (karmique), formation (mentale, karmique, de karma), motivation, stimulation (volitive), qui initie qqch, conceptualisation, tendance habituelle, karma liant, connectant","(TDC) 'du byed, 
sems mngon par 'du byed pa ste, 'du byed kyi phung po dang don gcig go  ,...'du byed thams cad mi rtag pa,...'du byed po bdag yin,...'du byed pa bdag gnas pa,...
 
(RY) 'du byed 
conditioning, formation [thd]. samskara, formation; 
1) One of the five aggregates: formation, 
Def. Jamgön Kongtrül: {rkyen rnams tshogs shing 'dus pas sems yul lam dmigs pa la mngon par 'du byed pa dang yul sna tshogs la g.yo zhing skul bar byed pa'i bdag nyid can gyi sems pa'o}. 
2) One of the twelve links: formative forces, karma-formations, habitual tendencies. mental exertion, thought formation. 
Def. Jamgön Kongtrül: {ma rig pa'i dbang gis kun gzhi la las kyi sa bon 'debs par byed pa 'du byed kyi byed las, kun gzhi'i steng du las kyi bag chags 'debs par byed pa'i rgyu, bsod nams kyi las, bsod nams min pa'i las, mi g.yo ba'i las rnams so} 
// application; to form, make, gather; volition, act of will, impulse, karmic formation, ""that which brings about"", to gather, bring, produce; act of conditioning; application; combination; samskaras, impulses, karmic formations, application, compositional factors. concepts and ideas, all emotions, to form, make, gather, compositional/ formative factor; karmic patterning karmic propensity. {'du byed thams cad mi rtag nyid} All is impermanent",464
‘dus ma byas,,unconditioned phenomena (SL BP),,,,465
"'du 'bral med pa 
='du 'bral gnyis med ",,,Libre d’union et de séparation,"sans, absence, au-delà de toute, libre de union (avec), conjonction, réunion, formation, se forme, réuni, se rejoindre, s'unir, se rapprocher, l'union de la non fusionabilité
ni, puis de
séparation (d'avec), disjonction, disjoindre, désunion, désintégration, séparé, se séparer, devenir distant de, et de l'inséparabilité","(RY) 'du 'bral med pa 
inseparably united, beyond meeting and parting, indivisible",466
'du shes ,saṃjñā,discernment (SL MW),"Conception,
Représentation,
Nomination,
Perception
","la pensée, saisie conceptuelle, par des caractéristiques
perception, conception, identification, notion, penser, considérer, conceptualisation, idéation, discrimination, pensées discursives, représentation mentale, considération, conscience, (type d')attitude, idée","(TDC) 'du shes, 
1) bsam pa'am, mtshan mar 'dzin pa,...spun zla'i 'dushes,...pha bu'i 'du shes,...'du shes 'khrul ba,...'du shes nganpa,...mes rgyal gyi 'du shes,...rkun por pha ma'i 'du shes 'jogpa,...
2) kun 'gro lnga'i ya gyal, yul gyi thun mong ma yin pa'i mtshan ma rang stobs kyis 'byed pa'i shes pa'o,...
'du shes kyi phung po, phung po lnga'i ya gyal zhig ste, don dang, tha snyad la mtshan mar 'dzin pa lta bu, rkyen gsum mam bzhi sogs 'dus te shes par byed pas yul gyi khyad par ram spu ris ma 'dres par so sor 'dzin pa'i bdag nyid can gyi sems pa du ma spungs pa'o,...
 
(RY) 'du shes :
conception, perception [thd]. Skt. samjna, 1) notion, conception, perception, activity, apprehension, concept, consciousness, consideration, discernment, *, *, distinguishing, idea, ideation, image, name, recognition, feelings, thought, perceptions; one of the {phung po lnga}. 2) {'du shes pa} to perceive; hold a notion / an idea, entertain an idea, feel an inclination of, think 

un des cinq facteurs mentaux omniprésents, la connaissance qui discerne par ses propres capacités les caractéristiques particulières d'un objet (GCLAvr93)",467
'dud pa ,,,"S’incliner, se courber,
Rendre hommage,","s'incliner, se courber, rendre hommage, vénérer, respecter",,468
'dun pa ,danda,,"Désirer,
Aspirer,
Tendre vers,
Aspiration,
Intention,","aspiration, intention, élan, désir, volonté, souhait, motivation, détermination, admiration, objectifs, conviction","(RY) 'dun pa
{'dun pa, 'dun pa, 'dun pa} intr. v.; 1) to desire, to wish earnestly, to yearn, 2) Def. by Jamgön Kongtrül: {bsam bya'i dngos po don du gnyer ba,} intention, as one of the five object-determining mental states. 3) attitude; strong interest, *, wish, determination, inclination, intensity, yearning, zeal, purposeful intent, will, craving; goal, aim; intention, motivation, *, determination, impetus, interest, wish to act, resolve, will, volition, longing, trust, craving, willingness, regard for, planning, goal, scheme, preoccupation",469
'dul ba ,Vinaya,,"Vinaya,
Discipline","le Vinaya, la discipline (monastique), loi monastique de conduite morale
la règle, l'éthique
transformer le mauvais en bon ",la première des trois corbeilles,470
'dus byas ,saṃskṛta,,"Composés,
Composite,","(phénomène) composé, composite, (choses) conditionnées, formations, compositions, crée, combinaison de facteurs, événements, situation",,471
'dogs pa ,,,"Lier,
Attacher,
Affixer,
Porter,
Imputer,
Désigner","saisir, lier
désigner, affixer, attribuer, nommer","(RY) 'dogs pa 
{'dogs pa, btags pa, gdags pa, thogs} trans. v.; 1) to bind, fasten, tie, tie to; 2) to put on, wear (ornaments). 3) to apply / attach a label; impute, designate, label, name, refer to",472
'dod khams ,kamadhātu,,"Le monde des désirs, L’état des désirs,
","sphère, royaume, monde, domaine du désir, des passions",,473
'dod chags ,rāga,,Désirs-attachements,"désir (charnel, compulsif), (désir-) attachement (égoïste), passion, attraction, attirance, luxure, convoitise, soif de chair, vouloir s'accaparer, cupidité, avidité","(RY) 'dod chags 
attachment, desire; desire-attachment; passion, lust; Def. by Jamgön Kongtrül: {khams gsum gyi gnas lus longs spyod la zhen pa} Attachment, as one of the six root disturbances",474
'dod don ,iṣṭārtha,,"Les désirs,
Ce qui est désiré","objet, objectif désiré, les désirs, fins souhaitées, ambitionnées, convoitées, voulues, briguées, poursuivies, espérées, recherchées",,475
'dod pa ,"kāma, rāga",,"Tenir, soutenir,
Désir, soif,","désir, passion
volonté, vouloir, désirer, ambitieux
affirmation, prétendre, (soutenir une) thèse, accepter, admettre, croire, considérer… comme, que","(TDC) 'dod pa, 
1. (tha mi dad pa) 1) chags pa dang, dga' ba dang sred pa,...chang 'thung 'dod pa,...rtsed mo rtse 'dod pa,...rang bde bar 'dod pa la dpags pas gzhan sdug bsngal mi'dod pa shes pa,...2) khas len pa,...rang lugs 'dod pa las gzhan gyi bshad srol khas mi len pa,...nor 'khrul snying thagpa nas 'dod cing khas blangs pa,...chos dad byed mkhan tshangmas lha yod par 'dod pa,...
2....1) chags pa'i ming,...'dod pa khengs pa,...'dod pa chung ba,...'dod pa che ba,...'dod pa la log par g-yem pa,...2) (mngon) 'dod pa'i lha ste lha'i smad tshong ma bcu gsum yod pas grangs bcu gsum mtshon, de dag nig log gi 'od can ma dang, thig le mchog ma, pad dkar ma, lagbzang ma, dga' ba'i shing rta ma, rab tu myos byed ma, me n'aka, skra 'dres ma, legs rgyan ma, munydza skyes ma, aa lam bu sh'a, chu shing brla can ma, sked legs ma bcas so,...3) 'dod pa'i khams,...
 
(RY) 'dod pa 
chad nas 'phro mi 'dod pa - grow weary and feel disinclined to continue. to hold, maintain. love-making. ambition. assert, hold, wish [thd]. self-centered {btsun mo de 'dod pas ngo tsha dang bag yod bral te} the queen was thoughtless and self-centered. suppositions, a positing of .... {'dod pa, 'dod pa, 'dod pa}; 1) to wish/ desire; hanker after; lust for, 2) desire; longing, crave, desire, like, desire to do, lust, passion, zeal; attachment, attraction to sense pleasures, be willing, wish, hanker for, aspire to, have in mind, want, hope for, wish; lust; ex. {grub rtags +} to hope for signs of attainment 3) Syn {khas len}, to suppose, claim, admit, consider, assert, regard as, believe, maintain, proclaim, accept, hold/ maintain (i.e. philosophically); 4) acceptance, admission, belief, claim, consideration, posit, proclamation of one's view, 5) Syn {'dod pa'i khams}",476
'dod pa'i dad pa ,,,confiance de l'aspiration,confiance de l'aspiration,une des quatre confiances ; c'est le désir d'étudier la voie venant d'un esprit respectueux qui souhaite obtenir l'insurpassable éveil (GCLAvr93),477
'dod pa'i yon tan ,kāmaguṇa,,"Qualités sensorielles,
Les qualités auxquelles on s’attache","objets, agréments, qualités, plaisirs, gratifications, offrandes, jouissances, ravissements, extases sensorielles, des sens, désirées, désirables, sensuels, ce dont jouissent les sens, offrandes (usuelles) des plaisirs sensoriels, substances désirables, attributs du monde du désir, activités des sens et agréments qu'on en tire, articles réjouissants, plaisirs, plaisantes réjouissances des (5) sens","(TDC) 'dod pa'i yon tan, 
yid tshim par byed thub pa'i nus pa,..
'dod yon, 
1) 'dod pa'i yon tan gyi bsdus tshig 
2) (mngon) 'dod pa'i yon tan la gzud dang, sgra, dri, ro, reg bya ste lnga yod pas grangs lnga mtshon,...
.
 
(RY) 'dod pa'i yon tan 
sense pleasures, sensory stimulus, sensory pleasure, qualities that please the senses, luxuries. sensual pleasures. Syn {'dod yon}; desirable qualities 

ce qui a la capacité de satisfaire le mental",478
'dre ,,,"Fantôme,
Gnome,
Esprit malin,

Mélanger","ogre, démon, fantôme, esprit, revenant ","(TDC) 'dre, 
mi ma yin gyi bye brag cig  ...'dre ngan,...'dre btsan,...'dre pho,...'dre mo,...rgyu lha 'dra ba la bdag po 'dre 'dra ba,...

(RY) 'dre 
1) a Yaksha; a ghost; *, ghost, spirit of dead person, goblin, gnome, imp, evil spirit, devil. Ex. {dgra 'dre} enemies and ghosts 2) vi. to get mixed, to be blended with",479
'dren pa ,nāyaka,,"Guide,
Inviter, Conduire,
Tirer (de l’eau)","guide, meneur, chef, seigneur, instructeur, diriger, direction, diriger en, entraîner
(s')amener (à être)
le Guide","(RY) 'dren pa 
Guide; nayaka. Common epithet of a Buddha. to take with me. to draw it up again. {'dren pa, drangs pa, drang ba, drongs} trans. v.; bring, bring [water], cite, derive, drag, draw, draw out, draw tight, elicit, guide, induce, instruct, invite, irrigate, lead, lead, lure, mount [a horse], pull, quote from [books etc.], think of. See also {gdan 'dren pa}; to guide; * épithète du Bouddha",480
rdul ,,,"Poussière,
Menstrue,","poussière, (infime) particule, grain, pollen, gouttelette
menstrues, règles
fautes, défauts, imperfections","(RY) rdul 
the dust. dust, -mote, speck of -, molecule; particle, atom, silt, grains of sand. 2) dusty [color]. 3) energy, affectedness (*); One of {yon tan gsum} 4) ovum, menstrual blood. 5) flaw. 6) anther. materiality, particle [thd]",481
